company_name,car_name,engine,cc_battery_capacity,horsepower,total_speed,accel_0_100,price,fuel_type,seats,torque
FERRARI,SF90 STRADALE,V8,3990 cc,963,340,2.5,1100000.0,plug in hyrbrid,2,800Nm
ROLLS ROYCE,PHANTOM,V12,6749 cc,563,250,5.3,460000.0,Petrol,5,900Nm
Ford,KA+,1.2L Petrol,1200 cc,85,165,10.5,12000.0,Petrol,5,140Nm
MERCEDES,GT 63 S,V8,3982 cc,630,250,3.2,161000.0,Petrol,4,900Nm
AUDI,AUDI R8 Gt,V10,5204 cc,602,320,3.6,253290.0,Petrol,2,560Nm
BMW,Mclaren 720s,V8,3994 cc,710,341,2.9,499000.0,Petrol,2,770Nm
ASTON MARTIN,VANTAGE F1,V8,3982 cc,656,314,3.6,193440.0,Petrol,2,685Nm
BENTLEY,Continental GT Azure,V8,3996 cc,550,318,4.0,311000.0,Petrol,4,900Nm
LAMBORGHINI,VENENO ROADSTER,V12,6498 cc,750,356,2.9,4500000.0,Petrol,2,690Nm
FERRARI,F8 TRIBUTO,V8,3900 cc,710,340,2.9,280000.0,Petrol,2,770Nm
FERRARI,GTS,V12,6496 cc,789,340,2.9,350000.0,Petrol,2,718Nm
FERRARI,PORTOFINO,V8,3900 cc,592,320,3.2,210000.0,Petrol,4,760Nm
FERRARI,ROMA,V8,3900 cc,612,320,3.4,230000.0,Petrol,4,760Nm
FERRARI,MONZA SP2,V12,6496 cc,789,340,2.9,1700000.0,Petrol,2,719Nm
FERRARI,F8 SPIDER,V8,3900 cc,710,340,2.9,280000.0,Petrol,2,770Nm
FERRARI,PORTOFINO M,V8,3900 cc,612,320,3.2,220000.0,Petrol,4,760Nm
FERRARI,ROMA SPIDER,V8,3900 cc,612,320,3.4,240000.0,Petrol,4,760Nm
TOYOTA,GR SUPRA,I4,2998 cc,382,250,4.1,53900.0,Petrol,2,500Nm
TOYOTA,TOYOTA 86,BOXER-4,1998 cc,205,226,6.4,27000.0,Petrol,4,205Nm
TOYOTA,TOYOTA GR86,BOXER-4,2387 cc,228,226,5.6,30000.0,Petrol,4,250Nm
